title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
QA/QC Lead/Specialist,AECOM,"Duba, TABUK, sa",2026-09-10T12:29:07Z,Not Specified,"automation, test-automation",Not Specified,"**Responsibilities:** Develops and executes comprehensive quality assurance and quality control procedures using established testing methodologies and industry standards. Conducts technical validation and verification activities, including test planning, test case development, and defect identification using both manual and automated testing approaches. Gathers, analyzes, and correlates quality engineering data and test results using well-defined procedures and technical documentation. Identifies and documents discrepancies, defects, and non-conformances, providing detailed analysis and recommendations for resolution. Proposes innovative approaches to solve quality challenges by adapting standard testing procedures and methodologies developed from previous projects and industry best practices. Provides technical guidance and mentoring to entry-level QA engineers and quality assurance team members. Ensures compliance with",Not Specified,https://jobs.smartrecruiters.com/AECOM2/744000148762449-qa-qc-lead-specialist?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Project Manager,AECOM,"Duba, TABUK, sa",2026-09-10T12:31:43Z,Not Specified,"agile, erp, financial-modeling, pmp, process-improvement, program-management, stakeholder-management",Not Specified,"Manages portfolio of clients with multiple projects. Responsible for delivering revenues assigned from specific clients as a result of repeat business caused by flawless execution of projects. Consistently delivers profit margins planned. Consistently completes projects without write-downs or multiplier erosion. Typically manages projects involving RTF (Risk Triggering Factors). Manages more complex clients and projects. Has decision-making authority and directs other Project Managers in recognizing risk and uncertainty with plans to mitigate and eliminate such. Directs staff to operate and minimize exposure to claims. Supervises and directs Project Managers with multiple projects or program of projects. Manages project budgets, resource allocation, and financial forecasting to ensure optimal utilization and cost control. Develops and maintains strategic relationships with key stakeholders,",Not Specified,https://jobs.smartrecruiters.com/AECOM2/744000148763239-project-manager?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior designer,AECOM,"Duba, TABUK, sa",2026-09-10T12:36:18Z,Not Specified,"cad, regulatory-compliance",Not Specified,"Senior Designer with strong engineering background responsible for developing comprehensive design and construction document drawings through completion for assigned projects in conformance with applicable codes, design criteria, and engineering standards established by the project's discipline leaders. Key Responsibilities: • Lead the design development process by applying engineering principles, technical analysis, and calculations to create detailed construction documents that meet all project requirements and applicable building codes. • Execute design assignments of moderate to high complexity with demonstrated proficiency in engineering methodologies and technical problem-solving. • Apply comprehensive knowledge of codes, permits, and industry-standard software applications relevant to the engineering discipline to ensure design accuracy and compliance. • Prepare designs and drawings utilizing project specifications, engineering standards,",Not Specified,https://jobs.smartrecruiters.com/AECOM2/744000148764309-senior-designer?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Developer Advocate,jobgether,France,2026-09-10T13:55:02Z,Not Specified,"agentic-ai, ai, api, developer-advocacy, gdpr, llm, python",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Developer Advocate based in France. The Developer Advocate will connect with developers through technical expertise, community engagement, and practical education. This role combines hands-on knowledge of web technologies and APIs with public speaking, content creation, and relationship building. You will represent developer needs across conferences, meetups, webinars, podcasts, online communities, and industry events. You will create tutorials, demos, videos, code samples, and technical articles that make complex data and developer workflows easier to understand and adopt. You will also explore emerging technologies, including LLM-powered applications and AI agents, and demonstrate how reliable web data can support them. Working closely with product, engineering, and marketing teams, you will turn developer feedback into",Not Specified,https://jobs.lever.co/jobgether/03b95c59-3c8b-48b9-aa94-87194f7ba28e?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Data Analyst II (Saudi National),Delivery Hero,"Riyadh, sa",2026-09-10T13:58:21Z,Not Specified,"analytics, bigquery, cloud, data-analytics, looker, looker-studio, postgresql, python, redshift, sql, statistics, tableau",Not Specified,"As a Data Analyst II at HungerStation, you will support the product development lifecycle by analyzing data, understanding user needs, and providing actionable insights that help optimize product performance. You will work closely with Product, Technology, Marketing, Commercial, Logistics/Operations, and Growth teams to turn data into meaningful insights and support data-driven decision-making. In this role, you will: Analyze product and business data to understand growth drivers and identify opportunities for improvement. Develop analyses, reports, and interactive dashboards to support business teams and stakeholders. Use quantitative analysis to uncover insights and help Product Managers, Designers, and Engineers understand what to build and why. Work with structured and semi-structured data from multiple sources, including BigQuery, Redshift, and PostgreSQL. Use SQL (BigQuery) and Python or R",Not Specified,https://jobs.smartrecruiters.com/DeliveryHero/744000148789347-data-analyst-ii-saudi-national-?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Solution Engineer,AvePoint,"Dubai, Dubai, United Arab Emirates; Riyadh, Riyadh, Saudi Arabia",2026-09-10T14:25:30Z,Not Specified,"active-directory, aws, azure, cloud, dhcp, dns, entra-id, gcp, networking, pre-sales, proof-of-concept, sharepoint, tcp-ip, technical-discovery",Not Specified,"About the role: As a Pre-Sales Solutions Engineer, you will act as the technical lead throughout the sales cycle, partnering closely with Account Managers to support new business and growth opportunities. You will take a consultative approach, helping customers understand how AvePoint solutions can address their technical and business needs. This role combines strong technical expertise with customer-facing engagement and commercial awareness. This is an excellent opportunity for someone looking to develop their career in pre-sales within a fast-paced and innovative technology environment. Key responsibilities: Deliver tailored product demonstrations aligned to customer use cases, both remotely and in person",Not Specified,https://www.avepoint.com/careers/job-detail?gh_jid=8121241&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Middle to Senior Python Developer,JobCubby,Saudi Arabia,2026-09-10T14:33:10Z,Not Specified,"ai, design-patterns, django, gdpr, mongodb, nosql, postgresql, python, rabbitmq, redis, sql",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Middle to Senior Python Developer based in Saudi Arabia. This role offers the opportunity to build and evolve high-performance backend systems within a fast-paced iGaming technology environment. You will work across a modern Python-based technology stack to deliver new product capabilities and scalable services. The position combines hands‑on development with architectural decision‑making and responsibility for production reliability. You will contribute to integrations involving payment methods and data providers, as well as automated communication and risk management systems. Working alongside an international and supportive team, you will have meaningful ownership over technical solutions and delivered outcomes. The environment encourages initiative, continuous improvement, and professional growth as the business continues to",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10729884__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
ROS / ROS2 Developer (Software Engineer),Atwad,"Dammam, Saudi Arabia",2026-09-10T14:33:10Z,Not Specified,"cpp, embedded-linux, ethernet, firmware, git, lidar, linux, python, ros2, sensor-fusion",Not Specified,"Location :2 nd Industrial City, Dammam, Kingdom of Saudi Arabia Employment Type : Full-Time/ On-site Application Period : 06 September 2026 – 30 September 2026 About Atwad Atwad is dedicated to driving innovation in autonomous systems and engineering excellence across the region. Our technologies empower customers to meet complex operational challenges with confidence and precision. We are expanding our footprint, forging partnerships, and continuously pushing the boundaries of what autonomous systems can achieve. About the Role We are hiring a ROS/ROS2 Developer to build software for robotics, autonomous systems, and connected platforms. The role involves developing nodes, integrating TVsensors and actuators, and working with embedded and edge-computer systems. Responsibilities Develop and maintain ROS/ROS2 packages, nodes, and applications. Integrate sensors, actuators,",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731156__7118?geoID=17353&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Embedded Firmware Engineer (Software Engineer),Atwad,"Dammam, Saudi Arabia",2026-09-10T14:33:12Z,Not Specified,"automation, cpp, embedded-linux, embedded-systems, ethernet, firmware, git, i2c, jtag, linux, oscilloscope, ros2, rtos, uart",Not Specified,"Location :2 nd Industrial City, Dammam, Kingdom of Saudi Arabia Employment Type : Full-Time/ On-site Application Period : 06 September 2026 - 30 September 2026 About Atwad Atwad is dedicated to driving innovation in autonomous systems and engineering excellence across the region. Our technologies empower customers to meet complex operational challenges with confidence and precision. We are expanding our footprint, forging partnerships, and continuously pushing the boundaries of what autonomous systems can achieve. About the Role We are looking for an Embedded Firmware Engineer with strong experience in STM32 series MCUs , ARM processors, and embedded system programming. The role also involves working with higher-end processor platforms such as Jetson , MediaTek , Snapdragon , or similar ARM -based SoCs , depending on project",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10729957__7118?geoID=17353&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"Industrial Software Engineer: IT/OT, HMI & SCADA Expert",مصنع الملابس والتجهيزات العسكرية,Saudi Arabia,2026-09-10T14:33:12Z,Not Specified,"hmi, sap, scada",Not Specified,"MUAF – Military Uniforms & Accessories Factory in Saudi Arabia seeks a Software & Industrial Systems Engineer to advance IT/OT integration and factory software across HMI/SCADA, SAP/MES interfaces, and production lines. You'll collaborate with IT, Production, Maintenance, and Engineering to ensure reliable, secure, and well-integrated software and machine systems powering manufacturing operations. Experience with industrial PCs, SCADA, OPC UA, and database programming is preferred.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730247__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
After-Sales Computer & Mobile Technician,eXtra (United Electronics Co.),"Jeddah, Saudi Arabia",2026-09-10T14:33:12Z,Not Specified,Not Specified,Not Specified,"eXtra (United Electronics Co.) in Jeddah is seeking a Computer Technician to join the After-Sales Service team. The role focuses on hands-on maintenance, OS installation, software activation, data transfer, and printer configuration, with a strong emphasis on customer satisfaction and timely problem resolution. You will work in a fast-paced retail environment, handling service requests, troubleshooting hardware and software issues, and ensuring devices are functional for customers.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730411__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
ROS/ROS2 Robotics Software Engineer — On-site in Saudi Arabia,Atwad,"Dammam, Saudi Arabia",2026-09-10T14:33:12Z,Not Specified,"firmware, ros2",Not Specified,"Atwad is hiring a ROS/ROS2 Developer to build software for robotics, autonomous systems, and connected platforms in Dammam, Saudi Arabia. You will develop ROS/ROS2 packages, integrate sensors and actuators, and ensure seamless system integration across embedded and edge computing environments. The role emphasizes real-time problem solving, collaboration with firmware and hardware teams, and active participation in testing, simulation, and documentation efforts.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731692__7118?geoID=17353&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Head of Hardware Engineering for AI Systems,think,"Riyadh, Saudi Arabia",2026-09-10T14:33:12Z,Not Specified,firmware,Not Specified,"think is seeking a Director of Hardware Engineering in Riyadh to own the Node line end-to-end, spanning thermal, electrical, mechanical, manufacturing and supply chain. The role emphasizes density-driven design and envelope ownership to enable rack-scale solutions. You will lead multidisciplinary teams across thermal, electrical, mechanical, firmware and validation, setting engineering standards and collaborating with software on telemetry interfaces.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731823__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Software Engineer - Industrial Systems,مصنع الملابس والتجهيزات العسكرية,Saudi Arabia,2026-09-10T14:33:13Z,Not Specified,"api, automation, cybersecurity, git, hmi, networking, sap, scada, sql, stakeholder-management, version-control",Not Specified,"Company Description MUAF – Military Uniforms & Accessories Factory is a prominent manufacturer based in Al-Kharj , specializing in the production of high-quality uniforms, military gear, and civilian apparel. Our commitment to quality, innovation, and customer satisfaction has made us a trusted partner to a range of sectors, including defense, law enforcement, and private enterprises. We pride ourselves on delivering durable, comfortable, and reliable solutions to our clients. Job Purpose Responsible for the development, maintenance, support, troubleshooting, and continuous improvement of software applications and industrial machine systems within the manufacturing environment. The role combines Software Engineering and Industrial Software Engineering , with responsibility for software applications, databases, system integration, Industrial PCs, machine-related software, HMI/SCADA systems, and IT/OT connectivity. The",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10732274__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Director of Hardware Engineering,think,"Riyadh, Saudi Arabia",2026-09-10T14:33:13Z,Not Specified,"ai, firmware, hpc, solidworks",Not Specified,"Open roles Director of Hardware Engineering Own the think AI Node line end to end: thermal, electrical, mechanical, manufacturing and supply chain. The hardware is half the argument. Density is what lets one node do the work of a rack, and you own the envelope that makes it possible. Type Full time Team Hardware Location Riyadh Own the think AI Node line end to end: thermal, electrical, mechanical, manufacturing and supply chain. The hardware is half the argument. Density is what lets one node do the work of a rack, and you own the envelope that makes it possible. What you will do Own the hardware roadmap across the Node line, from desk-side to rack scale. Own thermal architecture: the sealed loop, the heat exchange path, flow distribution and the pressure monitoring that lets density stop being a thermal problem. Set the engineering bar. Design review,",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731711__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Python Backend Engineer (Django) – iGaming Scale,JobCubby,Saudi Arabia,2026-09-10T14:33:14Z,Not Specified,"django, python",Not Specified,"JobCubby, in partnership with a Saudi-based client, seeks a Middle to Senior Python Developer to build high-performance backend systems within an iGaming technology environment. You will work with Python and Django, owning production reliability and architectural decisions, and contribute to integrations with payment methods and data providers. You will collaborate with an international team, drive initiative and quality, and take ownership from development through delivery while supporting",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10729792__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior .NET Core Backend Engineer: Scalable APIs,Uzaif,"Riyadh, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"agile, api, csharp, dotnet, git, postgresql, rest, sql, sql-server",4+ years,"Uzaif is seeking a Senior Backend Developer in Riyadh to design and implement scalable .NET Core solutions. You will build secure RESTful APIs, manage data access with EF Core, and collaborate with product teams to deliver high-quality software. Ideal candidates have 4+ years of .NET Core experience, strong C#, and experience with SQL Server or PostgreSQL, plus familiarity with frontend basics and Git in an Agile environment.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10729886__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Backend Developer (.NET Core),Uzaif,"Riyadh, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"agile, angular, api, azure, azure-devops, ci-cd, containerization, csharp, css, devops, docker, dotnet, git, html, javascript, microservices, postgresql, react, rest, sql, sql-server, version-control",Not Specified,"About the Role We are looking for a highly skilled Senior Backend Developer with strong expertise in .NET Core to join our growing engineering team. You will be responsible for building scalable, high-performance backend systems and delivering clean, maintainable code in collaboration with cross-functional product teams. Key Responsibilities Design, develop, and maintain scalable backend systems using .NET Core and ASP.NET Core. Build secure and high-performance RESTful APIs. Develop and manage data access using Entity Framework Core. Collaborate with cross-functional teams to deliver high-quality software solutions. Write clean, maintainable, and testable code following industry best practices. Participate in code reviews and contribute to continuous improvement of development standards. Troubleshoot, debug, and optimize application",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730751__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Backend Engineer II — Go/RoR/Python/Java | Relocation,HungerStation | هنقرستيشن,"Riyadh, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"go, java, kubernetes, microservices, python",4-5 years,"HungerStation is seeking a Software Engineer II - Backend to join our Riyadh team. You will collaborate with the product team to translate requirements into scalable backend solutions and ensure high-quality software delivery across services. The ideal candidate has 4-5 years in backend development with GoLang, RoR, Java, or Python, plus knowledge of microservices, DDD, and Kubernetes. Relocation support is available for permanent roles.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730902__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
GCP Cloud Infra & DevOps Engineer — CI/CD & Security,1Pass,"Jeddah, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"ci-cd, cloud, devops, gcp, terraform",Not Specified,"1Pass is seeking a hands-on DevOps/Platform Engineer to own the day-to-day health of our Google Cloud environment, build and maintain CI/CD pipelines, and act as the first line of defence on infrastructure security. You will define environments with Terraform, manage backups and disaster recovery, implement monitoring, logging and cost accounting, and ensure compliance with PDPL while keeping systems scalable.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731448__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"DevOps Architect: CI/CD, Kubernetes & Cloud Automation",Saudi Azm عزم السعودية,"Riyadh, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"automation, ci-cd, cloud, devops, docker, infrastructure-as-code, kubernetes, linux, networking",Not Specified,"Saudi Azm عزم السعودية is seeking a DevOps/Cloud Engineer to design and manage CI/CD pipelines, automate IaC, and operate across cloud and on‑prem environments. The role emphasizes Docker, Kubernetes, security, and incident response within a collaborative team. The ideal candidate has strong Linux networking skills, hands‑on experience with major clouds, and proficiency in CI/CD tooling, IaC, and monitoring. A Bachelor’s degree is required, with a focus on reliability and automation.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731734__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
